epoch,train acc,test acc,train loss,test loss
0,0.0137,0.0119,4.654,4.573
1,0.02632,0.0463,4.371,4.4131
2,0.05298,0.0739,4.071,3.8374
3,0.07098,0.077,3.923,3.7989
4,0.086,0.0676,3.791,3.853
5,0.11124,0.0768,3.602,3.7512
6,0.13654,0.1318,3.448,3.4117
7,0.15432,0.1337,3.339,3.4441
8,0.17684,0.1967,3.223,3.2497
9,0.2015,0.1555,3.085,3.345
10,0.2172,0.1262,3.002,3.348
11,0.23054,0.2064,2.947,2.9507
12,0.24498,0.1794,2.896,3.3499
13,0.2462,0.191,2.873,3.275
14,0.25532,0.2032,2.842,3.0246
15,0.26022,0.2144,2.816,2.9411
16,0.26286,0.2518,2.809,2.8923
17,0.26676,0.2403,2.802,2.8223
18,0.27268,0.2635,2.773,2.7379
19,0.27292,0.2522,2.769,2.8606
20,0.2778,0.2409,2.75,2.9925
21,0.28018,0.2212,2.74,2.9879
22,0.28516,0.2409,2.731,2.8863
23,0.28766,0.2614,2.728,2.9733
24,0.29028,0.2597,2.714,2.8989
25,0.29046,0.2637,2.709,2.9418
26,0.29214,0.264,2.703,2.9657
27,0.29512,0.267,2.703,2.9826
28,0.29586,0.257,2.697,3.0023
29,0.29484,0.2346,2.696,2.9412
30,0.29478,0.2495,2.691,2.9044
31,0.29936,0.2847,2.69,2.8703
32,0.29802,0.2662,2.685,2.9431
33,0.30214,0.2739,2.685,2.9172
34,0.3026,0.2869,2.671,2.7465
35,0.30954,0.2264,2.633,3.0227
36,0.31292,0.2951,2.622,2.6631
37,0.31458,0.2976,2.616,2.5949
38,0.3178,0.2586,2.602,2.821
39,0.31988,0.2828,2.606,2.6504
40,0.32034,0.2633,2.604,2.9472
41,0.32234,0.2854,2.597,2.8157
42,0.32284,0.2825,2.589,2.9157
43,0.32722,0.2948,2.571,2.7341
44,0.32734,0.3037,2.571,2.7302
45,0.33176,0.293,2.561,2.6848
46,0.32848,0.3041,2.562,2.6889
47,0.33004,0.2948,2.565,2.8862
48,0.33164,0.1956,2.558,3.1962
49,0.33196,0.2738,2.562,2.7638
50,0.33236,0.3224,2.557,2.5628
51,0.33136,0.3061,2.555,2.5463
52,0.33528,0.2635,2.545,3.0459
53,0.342,0.303,2.514,2.849
54,0.34924,0.2989,2.47,2.5737
55,0.3579,0.2849,2.426,2.835
56,0.3628,0.309,2.404,2.726
57,0.37058,0.3127,2.385,2.7344
58,0.37146,0.3036,2.375,2.8493
59,0.37658,0.31,2.353,2.8199
60,0.37848,0.3356,2.349,2.6034
61,0.55238,0.5003,1.581,1.7874
62,0.60034,0.5224,1.377,1.7117
63,0.62032,0.5182,1.306,1.8396
64,0.6285,0.5176,1.272,1.8535
65,0.63888,0.5255,1.234,1.9149
66,0.64864,0.5068,1.208,1.9742
67,0.65912,0.5007,1.172,2.1061
68,0.66772,0.5236,1.134,1.8496
69,0.67478,0.4938,1.105,1.9479
70,0.68428,0.5201,1.071,1.8659
71,0.69224,0.4888,1.038,2.1252
72,0.70162,0.5216,1.014,1.9091
73,0.78342,0.5624,0.875,1.493
