epoch,train acc,test acc,train loss,test loss
1,4.09,10.26,4.34,3.891
2,9.244,13.85,4.007,3.672
3,11.562,16.8,3.872,3.47
4,13.536,18.88,3.771,3.372
5,14.242,20.3,3.733,3.314
6,14.97,21.17,3.695,3.279
7,15.488,21.49,3.679,3.25
8,16.382,22.98,3.632,3.175
9,16.526,23.59,3.618,3.139
10,16.878,24.34,3.588,3.123
11,17.202,23.73,3.577,3.119
12,16.948,24.14,3.583,3.118
13,17.222,24.97,3.574,3.092
14,17.424,24.17,3.566,3.113
15,17.206,24.52,3.574,3.113
16,18.042,25.07,3.532,3.046
17,17.78,24.75,3.54,3.111
18,18.146,24.29,3.531,3.084
19,18.184,25.26,3.533,3.039
20,18.304,25.67,3.526,3.031
21,18.284,25.42,3.529,3.061
22,17.982,26.28,3.528,2.988
23,18.458,24.75,3.51,3.077
24,18.586,24.35,3.512,3.094
25,18.798,25.23,3.509,3.018
26,18.74,26.1,3.49,3.005
27,19.04,25.15,3.483,3.036
28,18.69,25.27,3.501,3.017
29,19.12,26.6,3.482,2.995
30,19.28,25.4,3.477,3.052
31,19.328,27.42,3.47,2.948
32,19.306,26.44,3.48,2.992
33,19.1,25.33,3.485,3.067
34,19.56,26.35,3.471,2.97
35,19.018,25.41,3.48,3.031
36,19.508,27.53,3.451,2.951
37,19.78,25.96,3.458,3.013
38,19.548,24.97,3.466,3.041
39,19.264,27.21,3.476,2.949
40,19.498,27.41,3.45,2.942
41,19.216,25.87,3.478,3.067
42,19.632,26.72,3.452,2.969
43,19.484,27.8,3.463,2.939
44,20.29,27.1,3.422,2.96
45,19.624,28.07,3.458,2.907
46,19.918,26.24,3.44,3.007
47,19.66,26.7,3.462,3.012
48,19.634,27.7,3.462,3.005
49,19.454,27.47,3.458,2.96
50,19.866,28.26,3.454,2.887
51,20.08,26.62,3.439,2.988
52,19.618,27.14,3.455,2.971
53,20.106,28.91,3.431,2.878
54,19.88,26.86,3.45,2.937
55,20.03,28.43,3.441,2.896
56,20.52,26.95,3.415,2.949
57,19.85,27.56,3.434,2.95
58,19.96,28.1,3.436,2.908
59,20.318,26.78,3.424,2.965
60,20.466,28.7,3.425,2.903
61,20.252,28.73,3.437,2.857
62,20.354,28.6,3.419,2.899
63,20.43,27.56,3.406,2.929
64,20.224,30.1,3.415,2.836
65,20.052,27.49,3.438,2.973
66,20.298,27.24,3.429,2.94
67,20.154,28.58,3.432,2.864
68,20.164,27.76,3.436,2.909
69,20.812,29.34,3.385,2.849
70,20.546,29.04,3.419,2.866
71,20.742,27.11,3.403,2.93
72,20.394,28.13,3.409,2.91
73,20.228,28.98,3.43,2.862
74,20.814,27.34,3.392,2.968
75,20.584,27.85,3.424,2.919
76,20.404,26.28,3.412,3.009
77,20.588,27.58,3.404,2.938
78,20.382,26.94,3.418,2.955
79,20.022,28.63,3.445,2.913
80,20.712,28.9,3.408,2.846
81,20.594,28.54,3.42,2.893
82,20.934,26.58,3.396,2.958
83,20.28,27.77,3.405,2.927
84,20.612,28.69,3.414,2.877
85,20.924,28.58,3.391,2.86
86,20.946,28.78,3.403,2.873
87,20.772,26.69,3.401,3.013
88,20.646,28.35,3.417,2.883
89,20.742,29.13,3.406,2.866
90,20.536,28.77,3.404,2.891
91,20.84,29.34,3.384,2.865
92,20.784,28.63,3.408,2.887
93,20.614,28.71,3.398,2.902
94,20.92,28.45,3.389,2.871
95,20.826,28.75,3.402,2.889
96,21.086,28.78,3.386,2.881
97,20.726,27.55,3.403,2.937
98,20.884,28.74,3.394,2.861
99,20.312,28.02,3.434,2.876
100,20.438,29.3,3.415,2.851
101,24.376,33,3.217,2.641
102,25.786,34.48,3.151,2.594
103,26.306,34.64,3.117,2.58
104,26.178,35.08,3.126,2.557
105,26.718,34.87,3.117,2.565
106,26.444,35.5,3.126,2.547
107,26.196,35.43,3.108,2.536
108,26.062,35.43,3.14,2.546
109,26.408,36.07,3.111,2.52
110,27.27,36.14,3.078,2.513
111,27.156,34.92,3.084,2.574
112,27.034,36.32,3.087,2.51
113,27.478,36.63,3.074,2.507
114,27.336,36.61,3.084,2.492
115,27.382,37.22,3.093,2.488
116,26.538,36.63,3.131,2.507
117,26.798,36.58,3.099,2.499
118,27.046,36.65,3.085,2.506
119,27.39,37.02,3.061,2.483
120,27.174,36.71,3.073,2.49
121,27.588,37.23,3.06,2.473
122,27.508,37.02,3.066,2.489
123,27.688,37.07,3.051,2.464
124,27.788,37.23,3.055,2.466
125,28.408,37.05,3.03,2.461
126,28.404,37.25,3.019,2.456
127,27.506,37.67,3.053,2.463
128,27.858,37.14,3.036,2.469
129,28.15,36.94,3.02,2.492
130,28.798,37.81,2.998,2.449
131,28.394,37.74,3.028,2.459
132,28.38,37.79,3.019,2.457
133,28.228,37.81,3.036,2.451
134,27.99,37.57,3.037,2.447
135,27.824,37.26,3.034,2.469
136,28.208,37.77,3.039,2.439
137,28.31,37.41,3.025,2.449
138,27.896,37.95,3.037,2.437
139,28.028,38.19,3.038,2.434
140,28.4,37.67,3.024,2.442
141,27.96,37.94,3.045,2.45
142,28.006,37.53,3.047,2.437
143,27.986,37.9,3.034,2.424
144,28.498,37.84,3.019,2.435
145,28.476,37.45,3.022,2.441
146,28.4,38.03,3.015,2.424
147,28.758,37.22,3.004,2.455
148,28.294,37.76,3.02,2.428
149,27.884,37.92,3.04,2.438
150,28.346,37.91,3.021,2.411
151,29.872,38.67,2.962,2.385
152,29.6,38.73,2.969,2.389
153,29.946,38.87,2.951,2.38
154,29.62,39.01,2.968,2.381
155,29.65,38.77,2.967,2.379
156,29.342,38.98,2.979,2.379
157,29.574,39.17,2.962,2.377
158,29.014,39.01,3.005,2.381
159,29.05,38.86,2.983,2.374
160,30.004,38.91,2.953,2.375
161,29.764,38.88,2.952,2.379
162,29.468,39.16,2.985,2.374
163,29.45,38.7,2.968,2.381
164,29.54,38.98,2.971,2.374
165,29.238,38.95,2.979,2.373
166,29.598,39.02,2.971,2.379
167,29.346,39.12,2.968,2.372
168,30.516,39.05,2.921,2.377
169,29.968,38.99,2.958,2.371
170,29.848,39.1,2.951,2.372
171,29.058,39.02,2.996,2.373
172,29.21,39.15,2.977,2.371
173,29.99,39.17,2.95,2.373
174,29.412,39.04,2.983,2.371
175,30.472,38.99,2.929,2.371
176,29.562,39.14,2.977,2.369
177,29.85,39.07,2.957,2.369
178,30.05,39.13,2.972,2.367
179,30.32,39.95,2.959,2.333
180,30.1,39.12,2.941,2.33
181,30.37,39.01,2.962,2.339
182,30.72,39.17,2.969,2.353
183,30.88,39.93,2.947,2.328
184,30.83,39.71,2.954,2.313
185,30.52,39.57,2.987,2.308
186,30.35,39.61,2.91,2.305
187,31.47,39.62,2.94,2.313
188,30.53,40.47,2.927,2.294
189,30.59,40.32,2.934,2.294
190,30.71,39.88,2.956,2.319
191,31.33,39.69,2.944,2.318
192,31.4,40.37,2.919,2.288
193,31.25,39.98,2.911,2.281
194,31.08,40.24,2.935,2.279
195,31.14,40.24,2.935,2.291
196,30.56,40.08,2.898,2.28
197,30.01,40.72,2.896,2.285
198,30.16,40.48,2.919,2.286
199,30.26,40.75,2.874,2.275
200,30.56,40.91,2.88,2.281
