iteration,train loss,train acc,test loss,test acc
1,6.467679501,0,4.550360203,0
2,48.87511444,3.125,4.553042889,0
3,43.88311005,0,4.494869709,0
4,28.4565506,0,4.556965828,6.25
5,11.37444973,0,4.519307137,3.125
6,7.543719769,0,4.558654308,0
7,7.609576225,3.125,4.642408848,0
8,4.634601593,0,4.604530811,3.125
9,5.558090687,0,4.577920437,0
10,4.990245819,0,4.594957829,0
11,4.88076067,3.125,4.484180927,0
12,4.871357441,3.125,4.539864063,3.125
13,4.81295681,3.125,4.532351017,0
14,4.816581726,0,4.536243916,3.125
15,4.589251041,0,4.534700394,3.125
16,4.634046078,3.125,4.531953812,0
17,4.697231293,0,4.584629536,9.375
18,4.659938335,0,4.602108479,0
19,4.602597713,0,4.575577736,3.125
20,4.758301735,0,4.662622929,0
21,4.584515572,0,4.552898407,0
22,4.637823582,0,4.404568195,0
23,4.610323906,3.125,4.536878109,0
24,4.649544716,3.125,4.502352715,0
25,4.668838024,0,4.493761539,0
26,4.568383694,0,4.529997826,6.25
27,4.659005642,0,4.53281498,3.125
28,4.6740098,0,4.563799381,6.25
29,4.683031082,0,4.55413866,0
30,4.679766655,0,4.511692047,0
31,4.679853439,0,4.607561588,3.125
32,4.651093006,0,4.499451637,3.125
33,4.601397991,3.125,4.557767391,6.25
34,4.581300259,0,4.500516891,0
35,4.709985733,0,4.621773243,3.125
36,4.58630228,0,4.580574036,0
37,4.610455513,3.125,4.561182499,3.125
38,4.59462595,6.25,4.570999146,3.125
39,4.675058365,0,4.555434227,3.125
40,4.591244221,3.125,4.464373589,3.125
41,4.622444153,0,4.677953243,0
42,4.608717442,0,4.590168476,0
43,4.606974602,0,4.600027561,0
44,4.616107941,0,4.512948513,6.25
45,4.669182301,0,4.503252506,0
46,4.610069752,0,4.540471554,0
47,4.690068245,3.125,4.434739113,3.125
48,4.61612606,0,4.510546684,3.125
49,4.740306854,0,4.399936199,3.125
50,4.64535284,0,4.507825375,0
51,4.66346693,0,4.53821516,9.375
52,4.629624367,0,4.577811718,3.125
53,4.708864212,3.125,4.553055286,0
54,4.622112274,0,4.649281979,0
55,4.683131695,0,4.5680933,0
56,4.613511562,0,4.658637524,0
57,4.600160599,0,4.598504543,0
58,4.624781132,0,4.533585548,0
59,4.566109657,0,4.565228939,0
60,4.592502594,3.125,4.573843002,0
61,4.59664917,0,4.535207272,0
62,4.567644119,0,4.520344734,6.25
63,4.637980938,0,4.579874992,3.125
64,4.678098202,3.125,4.543598652,0
65,4.604323387,3.125,4.507939816,3.125
66,4.612821579,0,4.56620121,0
67,4.667060852,0,4.452618122,9.375
68,4.675333023,0,4.537475109,0
69,4.632229805,0,4.620916367,3.125
70,4.612582684,3.125,4.68919611,0
71,4.622681141,0,4.544917107,3.125
72,4.588774681,3.125,4.519592285,0
73,4.565579891,0,4.576509953,3.125
74,4.548754215,0,4.567108154,3.125
75,4.586072445,0,4.480147362,3.125
76,4.616240978,0,4.508761883,0
77,4.654216766,0,4.602431774,0
78,4.612720013,0,4.629920483,0
79,4.615783215,3.125,4.598215103,0
80,4.61033392,6.25,4.558654785,0
81,4.602262974,0,4.621566296,3.125
82,4.672649384,3.125,4.644903183,0
83,4.63670969,0,4.537889481,0
84,4.630663395,0,4.490755558,0
85,4.699966431,0,4.605710983,0
86,4.608153343,0,4.5321455,0
87,4.642728806,0,4.490580082,0
88,4.575499058,0,4.543221474,0
89,4.61967659,3.125,4.436062813,6.25
90,4.663526535,0,4.444561005,0
91,4.635205746,0,4.591964245,0
92,4.520978451,3.125,4.612540245,6.25
93,4.628676414,0,4.47661829,3.125
94,4.662741661,0,4.519309044,0
95,4.716330051,3.125,4.55530262,0
96,4.63317585,0,4.489964962,0
97,4.654129982,3.125,4.538235664,0
98,4.567760468,3.125,4.489679813,0
99,4.647787094,0,4.530174255,3.125
100,4.583993912,0,4.556789398,0
101,4.706207752,0,4.517494678,3.125
