epoch,test loss,train loss,test acc,train acc
0,4.582,4.652,1.43,1.236
1,4.556,4.585,1.58,1.37
2,4.392,4.538,3.09,1.726
3,4.157,4.388,4.92,3.112
4,4.058,4.264,6.11,4.09
5,4.067,4.225,6.28,4.5
6,3.903,4.166,7.32,5.422
7,3.833,4.098,8.24,6.214
8,3.76,4.058,8.69,7.078
9,3.608,3.97,11.38,8.058
10,3.744,3.885,9.95,9.318
11,3.445,3.812,13.92,10.548
12,3.487,3.727,14.22,11.868
13,3.481,3.689,14.26,12.462
14,3.172,3.606,19.08,14.086
15,3.077,3.572,20.57,14.886
16,2.9,3.5,24.7,16.3
17,3.015,3.42,22.33,17.802
18,2.92,3.328,25.53,19.946
19,2.738,3.269,27.83,21.208
20,2.651,3.219,28.91,22.306
21,2.664,3.148,30.65,24.356
22,2.602,3.104,32.9,25.386
23,2.587,3.064,33.9,26.006
24,2.445,3.039,34.25,27.054
25,2.482,3.015,35.33,27.534
26,2.386,2.988,37,28.368
27,2.325,2.958,38.91,28.804
28,2.328,2.953,38.78,29.378
29,2.489,2.946,36.39,29.8
30,2.34,2.925,38.86,29.934
31,2.321,2.899,39.77,30.952
32,2.386,2.898,39.55,31.108
33,2.435,2.834,38.66,32.604
34,2.226,2.828,41.64,32.762
35,2.257,2.807,41.71,33.468
36,2.23,2.821,41.4,33.592
37,2.274,2.758,42.09,34.396
38,2.225,2.757,44.33,35
39,2.275,2.733,41.87,35.304
40,2.206,2.717,43.41,35.834
41,2.096,2.739,46.5,35.596
42,2.041,2.71,46.46,36.286
43,2.213,2.687,43.4,36.49
44,2.128,2.673,45.71,36.85
45,2.125,2.644,44.77,37.07
46,2.076,2.645,46.89,37.558
47,2.225,2.676,44.21,37.01
48,1.974,2.681,49.22,37.474
49,2.053,2.644,47.29,37.942
50,1.451,2.222,60.03,47.532
51,1.408,2.165,61.79,49.614
52,1.381,2.049,61.71,51.898
53,1.369,2.051,62.43,51.932
54,1.408,2.021,62.03,53.054
55,1.385,2.027,62.63,53.394
56,1.359,1.935,63.16,54.83
57,1.314,1.962,64.12,54.438
58,1.378,1.947,63.3,55.752
59,1.313,1.904,64.17,56.728
60,1.349,1.93,63.94,55.634
61,1.315,1.963,64.65,55.594
62,1.286,1.865,65.06,57.246
63,1.314,1.901,64.85,56.602
64,1.324,1.833,65.08,58.194
65,1.293,1.866,65.48,58.044
66,1.3,1.817,64.93,59.378
67,1.289,1.824,65.62,58.458
68,1.255,1.863,66.62,58.09
69,1.294,1.774,65.43,59.608
70,1.289,1.824,65.72,59.088
71,1.296,1.81,65.99,59.658
72,1.317,1.768,65.74,60.526
73,1.29,1.799,65.36,59.52
74,1.277,1.75,66.2,60.92
75,1.205,1.642,68.07,63.584
76,1.172,1.614,68.52,64.196
