epoch,train acc,test acc,train loss,test loss
0,0.04864,0.1009,4.244,4.049
1,0.12054,0.1697,3.731,3.685
2,0.15938,0.1896,3.495,3.326
3,0.17874,0.2092,3.389,3.221
4,0.19362,0.2103,3.325,3.215
5,0.1974,0.2328,3.284,3.084
6,0.2055,0.2305,3.252,3.296
7,0.2084,0.2253,3.226,3.062
8,0.21312,0.2388,3.211,3.036
9,0.21478,0.246,3.186,2.938
10,0.2201,0.2487,3.171,3.183
11,0.2203,0.2509,3.163,3.036
12,0.22588,0.2506,3.143,3.102
13,0.22806,0.2636,3.139,3.121
14,0.22944,0.2376,3.127,2.945
15,0.2329,0.258,3.117,2.979
16,0.23218,0.2421,3.107,3.053
17,0.23114,0.2625,3.109,2.966
18,0.23722,0.2527,3.095,2.864
19,0.23636,0.2551,3.088,2.997
20,0.23638,0.268,3.085,2.873
21,0.23892,0.2681,3.074,3.004
22,0.23896,0.273,3.066,2.87
23,0.23868,0.2774,3.07,3.001
24,0.2421,0.2724,3.063,2.87
25,0.24232,0.2677,3.06,2.88
26,0.23936,0.271,3.059,2.845
27,0.24674,0.2791,3.04,2.831
28,0.24504,0.273,3.048,2.981
29,0.2431,0.2499,3.046,2.968
30,0.2442,0.273,3.045,2.927
31,0.24754,0.2817,3.028,3.05
32,0.24774,0.2769,3.037,3.062
33,0.24724,0.2658,3.038,2.977
34,0.2459,0.2684,3.039,2.992
35,0.25002,0.2728,3.03,2.919
36,0.24948,0.2694,3.027,2.793
37,0.24914,0.2814,3.037,2.845
38,0.24866,0.2694,3.029,2.81
39,0.24882,0.2802,3.029,3.019
40,0.24884,0.2797,3.023,3.013
41,0.25196,0.2754,3.02,3.028
42,0.25246,0.2756,3.019,2.83
43,0.25012,0.2788,3.02,2.79
44,0.2527,0.2775,3.017,2.777
45,0.25026,0.28,3.017,2.834
46,0.25406,0.2655,3.015,3.033
47,0.24994,0.2764,3.023,2.959
48,0.24946,0.2707,3.018,2.772
49,0.2526,0.2811,3.012,2.988
50,0.25204,0.2583,3.004,2.939
51,0.25316,0.2645,3.004,2.866
52,0.25618,0.272,2.999,2.76
53,0.25114,0.2906,2.998,2.861
54,0.2549,0.2791,2.995,2.883
55,0.25672,0.2618,3.002,2.997
56,0.25512,0.2836,3.006,2.788
57,0.25404,0.2866,2.998,2.822
58,0.2547,0.2698,3,2.831
59,0.25476,0.2646,2.995,2.817
60,0.30996,0.3366,2.718,2.756
61,0.32344,0.3299,2.65,2.666
62,0.3262,0.3434,2.634,2.471
63,0.33024,0.3461,2.607,2.414
64,0.33252,0.3484,2.6,2.497
65,0.33354,0.3524,2.587,2.351
66,0.3351,0.3501,2.584,2.493
67,0.33654,0.3573,2.577,2.404
68,0.3381,0.355,2.571,2.469
69,0.33974,0.3534,2.563,2.58
70,0.33922,0.3541,2.564,2.314
71,0.34296,0.3559,2.555,2.369
72,0.34226,0.3498,2.557,2.379
73,0.34404,0.3514,2.548,2.432
74,0.34116,0.3516,2.548,2.463
75,0.34176,0.3618,2.554,2.421
76,0.34406,0.3599,2.542,2.566
77,0.34744,0.3594,2.534,2.391
78,0.34758,0.3593,2.538,2.376
79,0.34558,0.3569,2.535,2.404
80,0.3445,0.3635,2.536,2.408
81,0.34766,0.3565,2.528,2.55
82,0.3471,0.3589,2.531,2.397
83,0.34924,0.3591,2.52,2.516
84,0.34762,0.3584,2.527,2.502
85,0.34932,0.3634,2.517,2.449
86,0.34932,0.3625,2.521,2.279
87,0.35044,0.3608,2.513,2.524
88,0.34874,0.3637,2.519,2.295
89,0.35002,0.3565,2.522,2.435
90,0.34958,0.3591,2.512,2.501
91,0.3487,0.354,2.514,2.451
92,0.34978,0.354,2.517,2.521
93,0.35184,0.3678,2.51,2.51
94,0.35328,0.3642,2.505,2.526
95,0.35294,0.3607,2.509,2.549
96,0.35066,0.365,2.512,2.476
97,0.35052,0.3667,2.504,2.395
98,0.34976,0.3636,2.514,2.51
99,0.35022,0.3587,2.514,2.489
100,0.35136,0.3697,2.508,2.365
101,0.35006,0.3638,2.503,2.328
102,0.35454,0.3628,2.508,2.503
103,0.3524,0.3667,2.507,2.512
104,0.3524,0.3625,2.498,2.351
105,0.35202,0.366,2.501,2.268
106,0.35164,0.3657,2.492,2.34
107,0.35368,0.3608,2.495,2.498
108,0.35306,0.365,2.499,2.361
109,0.3553,0.365,2.495,2.451
110,0.3535,0.3695,2.496,2.391
111,0.35238,0.3743,2.497,2.523
112,0.35672,0.3576,2.491,2.303
113,0.35496,0.3661,2.491,2.53
114,0.3534,0.3637,2.494,2.527
115,0.3545,0.3646,2.494,2.448
116,0.35284,0.3701,2.494,2.394
117,0.35654,0.3665,2.491,2.429
118,0.35278,0.3697,2.493,2.261
119,0.35672,0.3664,2.484,2.479
120,0.38154,0.3904,2.368,2.149
121,0.38752,0.3899,2.352,2.235
122,0.3856,0.3904,2.343,2.329
123,0.38832,0.3907,2.34,2.119
124,0.38738,0.3921,2.337,2.367
125,0.38894,0.3909,2.332,2.308
126,0.38814,0.3908,2.337,2.352
127,0.39276,0.3902,2.33,2.25
128,0.39252,0.3938,2.324,2.344
129,0.39044,0.3929,2.321,2.271
130,0.3923,0.3938,2.326,2.134
131,0.39002,0.3899,2.323,2.114
132,0.39286,0.3922,2.323,2.328
133,0.39426,0.3926,2.318,2.288
134,0.39386,0.3942,2.317,2.237
135,0.39154,0.3945,2.321,2.142
136,0.39344,0.388,2.317,2.082
137,0.39308,0.3944,2.322,2.362
138,0.39202,0.3895,2.318,2.357
139,0.39032,0.3957,2.32,2.354
140,0.39396,0.3926,2.318,2.367
141,0.39274,0.3942,2.321,2.363
142,0.39454,0.3936,2.309,2.126
143,0.39444,0.3994,2.307,2.302
144,0.3919,0.391,2.318,2.113
145,0.39286,0.3975,2.314,2.241
146,0.39242,0.3984,2.315,2.065
147,0.39638,0.3937,2.305,2.159
148,0.39498,0.3934,2.312,2.142
149,0.39272,0.3904,2.309,2.165
150,0.39568,0.3952,2.306,2.138
151,0.39644,0.3914,2.306,2.136
152,0.39506,0.3945,2.306,2.185
153,0.39594,0.3962,2.3,2.281
154,0.39656,0.3955,2.306,2.187
155,0.39632,0.3961,2.301,2.122
156,0.3974,0.3985,2.297,2.224
157,0.39812,0.3922,2.301,2.077
158,0.39586,0.3953,2.302,2.092
159,0.39812,0.3903,2.309,2.337
160,0.40512,0.4013,2.265,2.185
161,0.40616,0.4025,2.263,2.25
162,0.4038,0.3994,2.266,2.197
163,0.40286,0.401,2.26,2.265
164,0.4074,0.4019,2.254,2.179
165,0.40592,0.4027,2.259,2.232
166,0.40644,0.4045,2.253,2.02
167,0.40546,0.4038,2.253,2.139
168,0.40884,0.4028,2.256,2.279
169,0.40622,0.4044,2.251,2.113
170,0.40626,0.4045,2.256,2.129
171,0.40808,0.4062,2.255,2.039
172,0.40608,0.4024,2.254,2.175
173,0.40786,0.4041,2.248,2.126
174,0.4084,0.4042,2.246,2.026
175,0.40738,0.4028,2.25,2.093
176,0.40804,0.4037,2.252,2.027
177,0.40772,0.404,2.253,2.169
178,0.4071,0.4051,2.261,2.158
179,0.40986,0.4048,2.25,2.05
180,0.40856,0.4041,2.251,2.08
181,0.40696,0.4008,2.248,2.185
182,0.40782,0.4063,2.255,2.196
183,0.40654,0.4019,2.251,2.262
184,0.40752,0.4049,2.251,2.085
185,0.40536,0.4059,2.251,2.098
186,0.40698,0.4056,2.253,2.102
187,0.40724,0.4012,2.248,2.216
188,0.40556,0.4065,2.255,2.251
189,0.40974,0.4051,2.246,2.259
190,0.40868,0.4045,2.251,2.292
191,0.40684,0.4032,2.255,2.215
192,0.40974,0.401,2.244,2.098
193,0.4073,0.4029,2.245,2.068
194,0.40702,0.4064,2.251,2.252
195,0.40868,0.4045,2.247,2.266
196,0.40888,0.4051,2.244,2.217
197,0.40688,0.4043,2.246,2.084
198,0.41122,0.4046,2.237,2.179
199,0.40748,0.4043,2.247,2.174
