epoch,train acc,test acc,train loss,test loss
0,0.01836,0.0373,4.577,4.663
1,0.04388,0.05,4.172,4.041
2,0.05768,0.0752,4.05,3.996
3,0.06752,0.067,3.962,3.667
4,0.07718,0.0773,3.888,3.895
5,0.08242,0.0697,3.837,3.847
6,0.08914,0.096,3.773,3.53
7,0.09378,0.0773,3.715,3.553
8,0.10098,0.1113,3.662,3.553
9,0.10528,0.0869,3.612,3.391
10,0.11288,0.1001,3.576,3.441
11,0.11706,0.1011,3.546,3.516
12,0.12386,0.1013,3.508,3.557
13,0.12532,0.1002,3.49,3.275
14,0.14142,0.1298,3.406,3.278
15,0.15734,0.1272,3.344,3.153
16,0.16226,0.1593,3.311,3.272
17,0.16856,0.1276,3.286,3.138
18,0.16942,0.1864,3.271,3.365
19,0.17468,0.116,3.261,3.234
20,0.17844,0.1507,3.247,3.099
21,0.1832,0.1483,3.227,3.11
22,0.1847,0.1832,3.223,3.209
23,0.18878,0.1667,3.217,3.161
24,0.19288,0.1827,3.186,2.907
25,0.19996,0.221,3.155,3.086
26,0.20738,0.1904,3.116,2.868
27,0.21208,0.1629,3.105,3.162
28,0.21694,0.1922,3.087,3.131
29,0.22158,0.2313,3.075,2.858
30,0.22304,0.2297,3.062,3.069
31,0.22222,0.2088,3.056,2.869
32,0.22636,0.2167,3.052,2.911
33,0.22886,0.1331,3.037,2.915
34,0.22764,0.241,3.041,2.859
35,0.2295,0.15,3.031,2.882
36,0.2312,0.2141,3.023,2.883
37,0.2316,0.2037,3.031,3.122
38,0.23356,0.2272,3.032,3.096
39,0.2309,0.2445,3.019,2.749
40,0.23318,0.2273,3.025,2.768
41,0.23804,0.1995,3.017,2.939
42,0.23458,0.1998,3.016,2.878
43,0.23898,0.1915,3.008,2.891
44,0.23648,0.2125,3.019,2.959
45,0.23508,0.2055,3.009,2.726
46,0.23916,0.2496,3,2.942
47,0.23458,0.1985,3.006,2.831
48,0.23802,0.2034,2.999,2.882
49,0.23974,0.2373,3.003,2.712
50,0.23774,0.2323,3.004,3.027
51,0.23884,0.2477,2.998,2.787
52,0.24162,0.2149,2.989,2.914
53,0.23898,0.1751,3.003,2.899
54,0.24162,0.2395,2.992,2.995
55,0.23954,0.1697,2.995,3.036
56,0.24156,0.2163,3.002,3.097
57,0.23808,0.2367,3.005,2.864
58,0.238,0.1758,3.007,2.997
59,0.24124,0.2011,2.989,2.953
60,0.23848,0.2499,3,2.825
61,0.35658,0.3886,2.398,2.343
62,0.38468,0.4287,2.274,2.125
63,0.39504,0.3991,2.24,2.165
64,0.4004,0.4292,2.231,1.98
65,0.40462,0.4218,2.219,2.285
66,0.40898,0.427,2.202,2.013
67,0.4181,0.4261,2.19,1.89
68,0.42056,0.43,2.176,2.079
69,0.4249,0.4328,2.16,2.083
70,0.4313,0.4159,2.136,2.196
71,0.4383,0.4559,2.125,1.872
72,0.44446,0.4613,2.098,2.024
73,0.4485,0.4263,2.08,1.809
74,0.45188,0.4511,2.067,1.767
75,0.45316,0.4709,2.066,1.807
76,0.45828,0.4674,2.059,1.994
77,0.45774,0.4589,2.048,1.983
78,0.46388,0.4549,2.037,2.034
79,0.46642,0.4817,2.025,1.81
80,0.47398,0.4715,1.999,1.847
81,0.47386,0.4623,2.008,1.853
82,0.4769,0.4866,1.992,1.856
83,0.4806,0.4888,1.982,1.8
84,0.48264,0.4951,1.986,1.776
85,0.4856,0.4782,1.974,1.824
86,0.4869,0.5051,1.959,2.038
87,0.4935,0.5087,1.93,1.825
88,0.49784,0.4994,1.907,1.803
