epoch,train loss,train acc,test loss,test acc
0,4.516984876,1.802,4.485985101,1.9
1,3.756575028,11.896,3.648515063,14.11
2,3.578488226,14.882,3.456883556,17.78
3,3.486552116,16.664,3.391981513,18.9
4,3.416454753,17.882,3.284400841,21.4
5,3.362708987,19.002,3.332732699,20.56
6,3.327493353,19.574,3.237465772,22.19
7,3.284722964,20.458,3.123536474,24.13
8,3.258831689,21.08,3.186799859,22.78
9,3.231652079,21.534,3.252514873,22.26
10,3.220525896,21.148,3.136989317,23.6
11,3.195631223,22.192,3.126961771,24.08
12,3.179017828,22.188,3.128341745,24.04
13,3.16814199,22.54,3.090815306,24.39
14,3.158631364,22.828,3.109588168,24.47
15,3.148903957,22.888,3.065107945,24.65
16,3.134374944,23.096,3.048030201,25.13
17,3.142169341,23.196,3.121847569,23.84
18,3.122125276,23.662,3.125074331,24.49
19,3.129237515,23.418,3.065910705,24.84
20,3.111652648,23.96,3.142346883,23.8
21,3.111943898,23.664,3.045416993,25.14
22,3.096644322,24.082,3.033022842,26.18
23,3.101253484,23.698,3.045239458,26.23
24,3.091126059,24.194,3.114560927,24.06
25,3.087151988,24.02,3.046446003,25.81
26,3.092504392,24.074,3.047462837,25.6
27,3.086711491,24.312,3.110393392,25.54
28,3.081695965,24.438,3.051640889,25.07
29,3.076215257,24.4,3.091902827,25.35
30,3.070856124,24.558,2.966640441,27.45
31,3.06685172,24.46,3.004013464,26.15
32,3.060802935,24.724,3.031882052,25.83
33,3.056797465,24.886,2.984396475,26.69
34,3.058180109,24.664,2.951837607,27.45
35,3.051864601,24.708,2.92158937,27.67
36,3.051356924,24.82,2.984915273,26.71
37,3.040620333,25.032,2.98231206,27.12
38,3.032926635,25.13,2.992501163,26.91
39,3.04041582,24.904,3.05681954,25.44
40,3.036053408,25.054,2.937512482,27.94
41,3.02605843,25.254,3.114561151,24.75
42,3.027099398,25.158,2.943271784,28.58
43,3.025841859,25.184,2.973211568,26.99
44,3.031539275,25.482,2.972720086,27.22
45,3.027146896,25.284,2.955954414,27.9
46,3.02239191,25.426,3.042872802,26.68
47,3.028284052,25.18,3.10017999,24.95
48,3.016063252,25.634,2.985121599,27.11
49,3.025998892,25.362,2.997061701,26.34
50,3.00222738,25.566,2.961398924,27.37
51,3.024744273,24.946,2.959579872,27.48
52,3.006808197,25.726,2.947967358,27.93
53,3.015057777,25.58,3.049504381,26.13
54,3.010257798,25.614,2.976556527,26.71
55,3.00543291,25.656,2.908730295,28.55
56,3.018161157,25.564,3.126878575,24.59
57,3.014814974,25.526,2.96015671,27.61
58,3.005312525,26.014,2.962122048,27.74
59,2.993168403,25.902,2.935995892,28.03
60,3.000480478,25.822,2.983775698,27.58
61,3.010694773,25.67,2.960091596,27.22
62,2.992806756,25.89,2.942214511,28.29
63,3.008063378,25.802,2.955137544,27.56
64,2.994958216,25.846,3.097767192,25.53
65,2.998322522,26.074,2.929627934,27.92
66,3.006893039,25.676,2.969216684,27.47
67,3.002870982,25.802,2.948111681,27.78
68,3.009891595,25.814,2.96047066,28
69,2.997397678,25.79,2.978249887,27.37
70,2.996764671,25.91,3.003864495,26.63
71,2.99268761,26.002,3.029740071,26.27
72,2.993065826,25.882,2.957257969,27.87
73,2.98491468,26.108,2.893221044,28.5
74,2.997409216,26.02,2.921394473,27.93
75,2.977282001,26.374,3.018609001,26.31
76,2.986331206,26.118,2.985368257,26.39
77,2.983573758,26.062,2.942530362,28.09
78,2.978923722,26.318,2.973783534,26.98
79,2.993672466,25.922,3.105470019,25.21
80,2.982612923,26.178,2.883918591,28.45
81,2.984511392,26.056,3.068222605,26.38
82,3.003262739,25.882,2.927881874,28.56
83,2.979076304,26.348,3.05407193,26.01
84,2.97619327,26.168,2.989812827,27.53
85,2.993798902,25.986,2.923032031,28.21
86,2.984364926,26.19,2.890151046,28.57
87,2.968430236,26.534,2.947538523,27.52
88,2.984781799,26.21,2.907768052,28.13
89,2.97188125,26.544,2.894526154,28.76
90,2.976975897,26.326,2.915135521,27.69
91,2.969558841,26.256,2.953201617,27.94
92,2.978617654,26.526,3.030737012,26.76
93,2.978984922,26.4,2.926037367,28.55
94,2.991705827,26.27,2.916959305,28.03
95,2.974512932,26.478,2.922191432,27.93
96,2.987711361,26.098,2.875293763,29.64
97,2.984702817,25.986,2.992747321,27.19
98,2.975150605,26.238,2.941297278,27.74
99,2.983635441,26.232,2.904654356,29
100,2.65027458,32.718,2.598658461,34.88
101,2.569453742,34.522,2.572555597,35.13
102,2.539863061,35.032,2.53852707,35.61
103,2.51095238,35.634,2.530483913,36.33
104,2.487849483,35.872,2.520659667,35.92
105,2.464699798,36.446,2.507421115,36.25
106,2.45663373,36.65,2.483950681,36.63
107,2.436782855,36.764,2.493386133,36.99
108,2.432965202,37.044,2.465712539,37.17
109,2.425118797,37.368,2.481659613,36.98
