epoch,train loss,train acc,test loss,test acc
0,4.093291547,7.056,3.700622036,13.34
1,3.529119192,15.498,3.497373364,16.7
2,3.26670384,19.842,3.106293035,24.2
3,2.993870814,24.976,2.929474508,27.61
4,2.783057197,28.922,2.852925541,30.3
5,2.706106621,30.88,3.048050341,28.28
6,2.662876683,31.57,3.112255419,26.76
7,2.675610406,31.244,2.758791114,31.48
8,2.695169762,31.262,3.118582338,25.18
9,2.714333432,30.658,3.530284571,22.38
10,2.755357176,30.068,3.16940238,25.95
11,2.74435922,29.912,2.986973336,25.99
12,2.731815369,30.27,3.236593206,26.34
13,2.733692273,30.164,3.042900165,26.17
14,2.734346155,30.128,2.962926128,27.32
15,2.730692553,30.516,2.949929281,27.84
16,2.719003559,30.592,2.892525521,28.76
17,2.728345407,30.266,3.268473753,24.57
18,2.724301687,30.152,3.281670149,24.75
19,2.722955095,30.192,3.064952858,26.78
