epoch,train loss,train acc,test loss,test acc
0,4.661732599,1.356,4.602589819,1.62
1,4.380925152,2.456,4.279764151,3.38
2,4.165228357,4.438,4.033369772,6.31
3,4.048588967,5.68,3.967526111,7.14
4,3.982975718,6.62,4.23576099,5.79
5,3.90983186,7.412,4.066342094,6.91
6,3.792004864,8.71,4.410221384,6.49
7,3.683283796,10.14,3.845051799,9.68
8,3.57588689,11.61,4.032601927,10.37
9,3.470811432,13.642,3.696501556,13.3
10,3.365699791,15.198,3.718785751,13.58
11,3.298219473,16.632,3.255766389,18.94
12,3.241195857,17.794,3.543115623,15.44
13,3.188781832,18.902,3.691511662,14.27
14,3.167168833,19.154,3.354158298,18.57
15,3.139712426,20.062,3.105440446,20.24
16,3.117463195,20.37,3.29149035,18.79
17,3.097199872,21.11,3.889669775,16.46
18,3.049863164,21.834,3.081331674,21.72
19,3.012827957,22.744,3.161848564,21.51
20,2.984552331,23.04,3.006528667,24.06
21,2.957065521,23.85,3.101854722,21.68
22,2.944633417,24.282,3.038862828,23.69
23,2.910539355,25.06,3.119307867,22.52
24,2.872323987,25.706,2.894209835,27.16
25,2.842950631,26.658,3.319069065,22.01
26,2.822120141,26.748,2.973016214,25.45
27,2.802196723,27.414,2.835295612,28.59
28,2.789129187,28.206,2.984244209,24.75
29,2.779337304,27.994,2.940074285,26.75
30,2.769694273,28.274,2.836910195,27.84
31,2.754254864,28.74,3.700924303,20.13
32,2.752204876,28.904,3.208559886,23.88
33,2.74224935,28.972,3.310879139,22.11
34,2.722170191,29.768,3.010078057,25.29
35,2.737891437,29.152,2.947328122,26.28
36,2.717790602,29.966,3.142122582,24.38
37,2.719248302,29.594,2.951276204,27.35
38,2.714003061,29.542,3.192014822,25.46
39,2.705879343,30.176,3.091009841,25.96
40,2.717257377,29.868,3.103005084,25.07
41,2.700363244,30.196,3.926507432,20.44
42,2.705418379,30.122,2.822027919,29.96
43,2.708838973,29.896,3.23148699,22.22
44,2.697252626,30.306,3.237767578,21.76
45,2.690865351,30.44,2.676180257,31.14
46,2.68999806,30.45,3.228454089,24.41
47,2.689777189,30.434,2.864050969,26.75
48,2.693866153,30.4,2.957593109,27.66
49,2.678026878,30.59,2.939782461,27.11
50,2.688620854,30.914,2.927669479,27.77
51,2.675063829,30.978,3.230449021,24.6
52,2.681791859,30.656,2.985242345,26.68
53,2.679104227,31.024,2.843279311,29.51
54,2.683650464,30.83,2.649723896,32.05
55,2.672494726,30.872,3.004771591,27.16
56,2.664991384,30.95,2.940649736,28.98
57,2.679983883,31.01,2.955143664,28.12
58,2.686247989,30.376,3.159055467,26.82
59,2.668463965,31.032,3.125002733,24.55
60,2.672652607,30.892,2.894989332,28.72
61,2.675670501,30.928,3.038370173,26.71
62,2.660350707,31.27,3.390172417,22.81
63,2.667729781,31.052,2.729724675,30.46
64,2.669537497,31.222,2.923414748,28.13
65,2.671278346,31.14,2.997238691,26.06
66,2.659016113,31.406,3.088033874,26.32
67,2.6628321,31.174,2.953264887,27.97
68,2.670219551,31.35,3.07951605,25.79
69,2.679637521,30.826,3.099011149,25.69
70,2.658487507,31.26,2.727037442,30.27
71,2.659429927,31.696,2.922732175,28.4
72,2.661364238,31.47,2.65277313,31.99
73,2.661704465,31.206,2.897033884,30.06
74,2.655580401,31.694,2.928928392,27.88
75,2.659587776,31.374,2.78034438,30.43
76,2.656526933,31.51,3.112427919,25.85
77,2.664874526,31.198,3.02099763,27.04
78,2.649376305,31.684,2.764760875,30.44
79,2.662053259,31.174,2.760246542,30.65
80,2.653886689,31.65,3.071694468,28.37
81,2.654796612,31.398,2.864080781,29.7
82,2.649613403,31.452,2.692758117,32.96
83,2.645820738,31.388,3.051485526,26.63
84,2.647238453,31.688,2.69916262,30.99
85,2.63737462,31.974,2.995473469,28.9
86,2.644926952,31.9,3.224189855,23.29
87,2.642173265,31.636,3.127808937,26.44
88,2.655552308,31.226,2.800240134,30.56
89,2.63976696,32.02,3.222551584,24.66
90,2.652848429,31.646,2.796706811,29.93
91,2.65258806,31.662,3.133301807,26.89
92,2.650076229,31.716,2.869819993,30.06
93,2.652434597,31.622,2.709345625,31.02
94,2.654018606,31.224,2.841651714,29.73
95,2.654351803,31.424,2.974949461,30.41
96,2.65311043,31.418,2.662607636,31.31
97,2.651999628,31.682,3.008063425,27.37
98,2.653846094,31.788,2.937430702,28.35
99,2.653790144,31.644,3.017095262,25.79
